playlist_id,track_ids
7,13759 13758 13757 13760 13756 13755 13753 13754 13752 13761 
25,13755 13754 13756 13757 13758 13759 13753 13760 13752 13761 
29,13751 13758 13757 13756 13755 13754 13753 13752 13750 13749 
34,13759 13754 13757 13758 13756 13755 13760 13753 13761 13752 
50,17931 17429 32 14294 14573 12839 2232 8044 6687 16987 
52,13756 13755 13757 13752 13753 13754 13758 13759 13751 15550 
60,13757 13761 13760 13759 13751 13752 13753 13754 13755 13756 
64,13756 13757 13755 13758 13754 13753 13759 13762 13761 13752 
77,13758 13757 13756 13759 13754 13755 13753 13760 13752 13751 
80,13754 13753 13752 13751 13755 13750 13756 4532 2988 16391 
106,13757 13758 13759 13755 13756 13754 13760 13753 13752 13761 
138,13757 13756 13758 13755 13753 13754 13759 13752 13751 13762 
143,13757 13756 13755 13758 13754 13753 13759 13752 13760 13751 
149,4266 8464 17040 19699 2037 19217 15570 18919 16698 12639 
169,13757 13751 13752 13753 13759 13754 13755 13758 13756 13750 
180,14453 11498 14233 2088 4657 13756 17515 3730 13757 13755 
210,4266 8464 17040 2037 19699 19217 18919 16698 15570 9291 
231,13756 13755 13758 13757 13754 13759 13753 13760 13752 13761 
241,13757 13758 13756 13759 13755 13760 13761 13762 13754 13763 
244,13755 13756 13757 13754 13758 13760 13759 13753 13761 13762 
256,13750 13751 13752 13753 13754 13755 13756 13757 13758 13749 
258,12403 5920 9171 13213 11585 14293 17671 16801 17352 10721 
265,2312 1182 13784 16331 16559 3580 8345 8191 3169 13032 
268,13759 13758 13757 13760 13756 13755 13754 13761 13753 13762 
271,13757 13758 13756 13759 13760 13755 13761 13762 13754 13763 
272,13754 13755 13756 13752 13753 13757 13758 13759 13751 13760 
275,4266 8464 17040 19699 19217 18919 16698 9291 15570 20025 
277,13755 13756 13757 13753 13752 13750 13758 13751 13754 13759 
290,13755 13754 13757 13753 13758 13752 13756 13751 13759 13760 
310,13754 13753 13757 13755 13756 13752 13751 13758 13750 14944 
326,19369 14100 3802 11479 4469 16909 20019 443 7475 20169 
365,13756 13758 13757 13759 13755 13762 13760 13761 13764 13765 
392,13757 13756 13758 13754 13755 13753 13759 13752 13760 13751 
407,13755 13756 13758 13757 13759 13760 13754 13753 13752 13751 
413,13758 13760 13759 13757 13761 13756 13755 13762 13754 13753 
422,13755 13756 13757 13754 13753 13760 13759 13761 13758 13752 
432,13755 13752 13757 13753 13756 13754 13758 13751 13750 13759 
455,13754 13748 13747 13755 19943 6786 18417 16204 13198 18912 
470,13757 13758 13760 13756 13762 13761 13759 13763 13755 13754 
492,4266 8464 19699 17040 19217 2037 15570 18919 16698 4161 
495,13759 13761 13758 13757 13762 13760 13756 13755 13754 13763 
497,13755 13756 13754 13758 13757 13753 13760 13752 13759 13751 
505,13757 13758 13755 13754 13756 13753 13759 13752 13760 13751 
509,4266 8464 19217 2037 19699 17040 18919 9291 16698 15570 
514,625 16381 5453 8911 8728 16541 17972 13918 2845 8481 
529,13761 13759 13757 13756 13760 13755 13754 13779 13758 13762 
532,13757 13759 13756 13755 13758 13760 13754 14100 19369 11479 
537,8756 4460 16065 8926 13006 7610 6263 6859 10857 6246 
545,13759 13762 13761 13760 13757 13758 13756 13754 13755 13779 
564,13755 13757 13758 13759 13756 13754 13753 13760 13751 13752 
567,13748 13751 13754 7905 18015 13753 17680 16204 18912 18417 
580,13756 13755 13754 13757 13758 13760 13753 13759 13761 13752 
582,13756 13757 13758 13755 13759 13750 13752 13751 13760 13753 
592,13754 13755 13758 13753 13756 13757 13751 13752 13759 13749 
611,13757 13755 13756 13758 13759 13754 13753 13760 13752 13761 
615,13753 13756 13752 13758 13777 13751 13757 13749 13755 13754 
619,13755 13754 13757 13753 13756 13758 13752 13751 13759 13760 
622,8452 4566 19071 9400 9307 2518 222 16494 15410 4136 
625,13755 13754 13753 13752 13751 13750 13756 13757 13758 13749 
631,13758 13757 13755 13759 13760 13754 13756 13753 13752 13751 
633,13754 13755 13753 13756 13757 13758 13752 13759 13760 13751 
636,13755 13758 13754 13757 13756 13761 13759 13760 13762 13753 
642,4266 8464 19217 2037 19699 17040 18919 9291 16698 15570 
646,13757 13756 14934 6524 19939 9406 8195 6908 1482 14948 
676,4266 8464 19217 17040 19699 18919 16698 9291 15570 12639 
683,15400 14849 10953 1095 5036 17524 13756 4013 14944 13957 
686,13754 13755 13756 13753 13757 13752 13758 13751 13750 13759 
704,13760 13757 13756 13755 13754 13759 13761 13758 13762 13763 
709,17966 15620 16623 7890 4725 16079 7309 1441 2217 4802 
714,13754 13755 13753 13760 13756 13752 13761 13757 13759 13758 
719,13752 13758 13753 13756 13759 13755 13754 13757 13760 13751 
721,13755 13759 13754 13760 13757 13756 13758 13762 13761 13753 
724,13751 13755 13754 13753 13757 13752 13756 13750 13758 13749 
731,13759 13758 13760 13761 13755 13762 13754 13757 4266 8464 
735,4266 8464 2037 19217 13755 8756 13756 18919 16065 13754 
737,13762 13764 13763 13758 13759 13756 13757 10481 533 3256 
740,13755 13756 13757 13758 13754 13759 13753 13752 13751 13750 
744,13750 13757 13756 13758 13755 13754 13759 13753 13760 13761 
746,13754 13755 13758 13753 13757 13756 13759 13752 13760 13751 
774,13757 13753 13755 13756 13752 13758 13754 13751 13759 13760 
788,13760 13759 13757 13756 13761 13754 13758 13755 13753 13762 
818,18498 17253 55 17451 6544 3388 10550 12020 1751 18642 
859,13757 13756 13755 13758 13754 13759 13753 13760 13752 13751 
914,13757 13756 13758 13755 13759 13760 13754 13753 13761 13752 
924,13757 13756 13755 13758 13759 13753 13754 13752 13760 13761 
925,13757 13756 13758 13755 13754 13753 13759 13752 13760 13751 
926,13756 13755 13753 13757 13754 13750 13752 13758 13759 13751 
927,13756 13749 13750 13751 13752 13755 13757 13753 13754 13758 
949,13754 13755 13756 13753 13752 13757 13758 13759 13751 13760 
957,13755 13756 13754 13753 13752 13757 13758 13751 13750 13749 
961,19053 18011 12835 12395 7888 11688 16827 14961 9779 13161 
988,13756 13755 13757 13754 13758 13760 13753 13759 13761 13752 
994,13755 13756 13754 13757 13753 13752 13758 13751 13759 13760 
1016,16909 11479 4469 14100 20019 3802 19369 443 20169 7475 
1021,13755 13754 13756 13757 13753 13758 13759 13760 13752 19071 
1027,13757 13755 13756 13758 13754 13759 13753 13760 13752 13761 
1046,13754 13755 13756 13757 13753 13758 13752 13759 13751 13760 
1057,13754 13755 13756 13753 13752 13760 13751 13757 13750 13758 
1065,13761 13756 13757 13760 13755 13758 13763 13759 13762 13754 
1066,13762 13758 13761 13759 13757 13760 13763 13756 13755 4722 
1087,13756 13755 13757 13760 13758 13754 13753 13759 13752 13751 
1092,13757 13758 13759 13756 13755 13760 13754 13761 13752 13753 
1099,13757 13756 13758 13759 13755 13760 13762 13761 13763 13754 
1103,18836 1591 1605 20051 14571 3660 16810 2002 19244 3001 
1108,13754 13755 13753 13752 13758 13756 13757 13751 13750 13759 
1115,13750 13756 13757 13758 13759 13895 14861 3122 1447 2450 
1120,13756 13758 13754 13755 13757 13753 13752 13759 13760 13751 
1126,13756 13757 13759 13758 13760 13761 13755 13754 13753 13752 
1129,2452 6422 470 1367 15995 16711 16817 5028 13757 17196 
1147,13760 13762 13758 13757 13755 13761 13763 13759 13756 13754 
1163,13758 13751 13759 13752 13753 13760 13754 13755 13756 13757 
1169,13755 13756 13757 13754 13758 13753 13752 13759 13751 13750 
1174,12830 17776 11045 10932 9465 18894 13363 9023 13763 13764 
1238,5479 15599 20592 17997 2970 8798 12299 13511 7466 14620 
1254,4266 8464 19699 2037 17040 19217 18919 15570 16698 9291 
1274,13757 13759 13758 13756 13755 13754 13760 13753 13752 13761 
1285,13756 13758 13757 13759 13755 13760 13765 16905 4850 11648 
1302,13758 13756 13757 13754 13759 13753 13755 13752 13751 13760 
1316,13757 13760 13759 13758 13756 13755 13754 13753 13761 13752 
1319,13750 13759 13756 13755 13754 13753 13752 13751 13757 13749 
1341,13754 13756 13755 13753 13757 13758 13752 13759 13760 13751 
1346,13756 13757 13758 13754 13755 13753 13759 13752 13751 13760 
1350,13756 13755 13754 13757 13753 13758 13752 13759 13760 13751 
1353,13752 13751 13753 13754 13755 13750 13756 13758 13757 1382 
1363,13754 13755 13756 13753 13752 13757 13758 13759 13760 13751 
1371,13754 13756 13755 13757 13753 13758 13752 13751 13759 13750 
1379,13756 9083 13753 16128 13754 1933 18352 16477 18316 6569 
1383,7667 16880 4398 5539 11690 7498 15429 13795 5610 5950 
1390,13762 13761 13758 13759 13757 13760 13756 13763 13755 13764 
1398,13758 13757 13759 13760 13756 13755 13754 13752 13753 10040 
1404,13759 13760 13758 13757 13762 13761 13755 13756 13754 13752 
1415,93 4247 8125 2084 6712 4323 16108 6617 2811 7065 
1417,13752 13751 13750 13753 13754 13749 13755 13748 13756 13757 
1454,16995 4234 1209 8724 14038 15837 3453 12762 6884 18331 
1456,13759 13760 13756 13757 13758 13755 13761 13754 13753 13752 
1463,13754 13755 13753 13756 13757 13752 13758 13751 13759 13750 
1481,13756 13757 13758 13759 13755 13760 13753 13752 13754 13751 
1505,13757 13756 13754 13758 13755 13759 13753 13751 13752 13750 
1519,3667 5571 2388 3762 7886 10169 17786 4113 6015 12707 
1524,13752 13751 13753 13750 13749 13754 13756 13755 13748 13757 
1534,3963 13729 18559 10002 17388 18279 7029 14384 10167 869 
1542,13751 13753 13754 13755 13752 13758 13757 13756 13750 13759 
1545,13759 13760 13756 13758 13757 13755 13761 13754 13753 13752 
1554,13756 13760 13757 13759 13755 13762 13758 13761 13754 13763 
