playlist_id,track_ids
7,16451 362 13542 4492 20150 15935 15368 17780 11641 358 
25,4202 699 7077 3788 7545 1900 16866 19134 2018 1713 
29,18361 8001 3855 2730 2508 8880 15029 12075 6695 56 
34,9803 6285 1850 7311 20076 6581 12243 19999 6951 1357 
50,20037 11896 20287 8229 13763 6897 3074 18627 12963 15354 
52,8838 19173 1935 8456 9441 14827 6577 16293 1357 18254 
60,18995 5925 18904 13111 17192 1551 18404 3600 3511 16667 
64,5726 5604 4799 15038 3470 12793 15905 6157 15878 4133 
77,18119 13188 6577 12426 3417 11641 5851 9232 16447 9346 
80,14683 16391 10203 18026 3919 15335 9670 19205 11654 3413 
106,15474 14008 2497 14277 10848 11275 17584 6518 8145 20295 
138,19825 18856 18824 15322 5149 11451 5651 5882 10834 13056 
143,20172 8491 4401 868 10251 14732 8439 2221 7506 14277 
149,13980 4364 19783 10496 14758 5978 11896 18859 15570 3347 
169,7157 19858 18615 6901 11268 14226 6409 19976 4710 6985 
180,17281 84 1023 9259 6496 2247 10089 20135 19929 4695 
210,19305 14904 16583 394 2006 5751 18743 5429 19075 16486 
231,9675 11157 4768 15187 8348 18642 19153 7809 13630 17353 
241,5359 10706 4026 1133 1641 7545 3788 17346 5100 4058 
244,17096 15209 13782 13237 18728 15578 4364 3055 16760 1534 
256,3600 12287 5981 16457 628 8601 5110 9753 8942 10833 
258,11366 14395 6253 4364 14591 6556 15578 15209 1746 10264 
265,8155 11200 16009 13032 20591 11243 5664 14180 16331 14066 
268,3855 5817 14149 3750 18249 4743 4023 559 11759 8268 
271,19075 5023 10339 19466 8342 8033 3375 12196 3799 14306 
272,12712 15098 15988 18425 8731 3467 6672 2551 13052 20232 
275,11107 17239 10264 2674 13237 14052 6799 10250 7619 14591 
277,10481 7224 16673 6971 3001 12910 19929 20163 1023 7081 
290,11715 13406 3009 16385 17211 14907 12931 1192 17131 17586 
310,8749 12164 6557 16451 9676 20443 14097 15498 16973 9963 
326,9941 17034 12639 16820 5606 3811 10636 8304 2997 14826 
365,13212 13624 6823 16433 8872 19929 2166 1588 5193 17019 
392,17652 13139 2674 11255 315 15713 9705 5173 13272 8506 
407,2719 8281 19221 10659 7187 7920 17404 10989 2821 14490 
413,15781 4058 15434 1641 13930 5100 1714 15868 9903 13846 
