playlist_id,track_ids
7,15124 13076 2273 4492 734 13158 15908 6615 6099 8018 
25,6459 20474 15837 9753 10921 10977 14509 16583 3453 2132 
29,19798 898 4804 1896 17351 16589 5293 20277 9706 10299 
34,1647 2715 13079 11423 545 1973 11710 3594 14222 540 
50,6335 12963 6687 10744 8044 2945 2232 1018 16987 6189 
52,15550 16740 12362 11127 423 19120 2692 10377 17520 369 
60,13374 14443 3009 1948 13771 17511 694 19622 3942 5423 
64,8640 4089 2989 508 2922 533 2583 20095 12771 19705 
77,80 3431 10502 6464 8018 8798 19317 14367 6937 2970 
80,16391 14683 10203 4532 2988 3119 3996 1372 8152 11744 
106,8452 11013 4566 2349 16494 15410 2518 7463 13731 222 
138,12071 5667 2435 1485 7416 7680 1222 14270 762 10580 
143,3714 19765 11026 2020 16996 6295 6531 13967 16620 15676 
149,12879 19956 11421 6246 12345 8926 20362 3875 19067 10857 
169,15406 20499 18018 8785 12903 20514 4262 15968 17909 8477 
180,2418 13783 7766 8418 13188 15268 13943 14233 3858 12932 
210,17040 12834 17926 12182 19783 15333 15930 723 6242 4807 
231,3749 638 6716 7264 13957 14247 4013 3433 14944 17143 
241,5273 10913 7744 19773 4496 13312 2120 8380 9724 19567 
244,15580 10523 4632 18601 3252 17195 2046 1382 6354 4946 
256,3175 1812 12372 5807 311 15009 15357 2768 8431 18257 
258,16801 17685 10721 19491 9171 9826 9977 5432 6887 14088 
265,13032 20591 3067 3169 10477 11696 5664 14180 11243 14066 
268,1502 7076 14037 6466 10572 3622 11573 9508 7904 4865 
271,10613 19414 7920 18834 10880 4151 19223 10300 18557 1373 
272,8956 10848 5606 15578 10496 17239 2674 13980 18266 2272 
275,4632 17195 6354 17972 15580 1201 3252 13980 2046 1382 
277,3293 13779 13460 10817 18642 8738 13704 7664 18282 17782 
290,8502 16227 2060 8639 8533 1192 19634 13089 2649 9784 
310,3749 18301 14944 6716 17143 7153 638 14247 4013 19838 
